,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,sum_rev,Dates,Codes
0,316.904431,145.159767,63.937378,63.954334,9.818338,13.707857,10.143121,13.03611,6.911635,8.607204,4.75865,4.185178,6.112538,5.388,6.00416,7.832825,3.083,6.211467,3.630842,5.738024,5.93,4.082731,2.246147,1.62216,2.606825,1.65214,0.0,2.699853,4.300699,1.812512,27.182268,48.333108,40.181078,34.907736,30.81508,27.111493,27.872311,18.16165,12.539093,15.881925,14.164125,6.857206,7.353475,11.055172,18.358954,9.083701,6.766116,3.513825,3.874821,5.551068,8.953265,7.030729,6.804906,2.838325,2.371,1.95214,2.261,2.883025,0.57,2.121,0.45114,2.96,3.268825,5.5615,2.784876,1.633825,4.873025,3.613004,2.71614,1.81465,4.824625,5.9,5.098475,3.37565,2.892825,1.73686,5.291825,2.083,0.25,0.94,1.77565,1.302825,1.5,4.724695,1.578,0.952,2.076825,1.25,0.893533,1.18,1.333825,1.0,3.992,1.503,2.23,0.810825,1.06565,1.71,2.688727,2.344825,1.018,1.212825,3.092125,0.9885,1.04,2.12,1.351,2.394825,2.162825,0.73,0.545862,1.218,0.972825,2.632,0.960825,0.77,1.49,1.036175,2.845625,0.801,0.0,0.85,0.801,2.11,1.052825,0.753622,2.492825,1.43,1.22,2.53,1.191,0.601,0.601,1.633,1.18,1.866527,1.051,0.313778,2.0,2.660727,1.74116,0.907825,0.782825,1.612,0.93,0.7,0.548727,0.25,0.0,1.051,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.298727,0.0,0.0,0.0,0.0,0.144821,0.59,0.6,0.4,0.0,0.0,0.6,0.25,0.982825,0.59,0.0,0.0,0.93,0.570825,0.0,0.0,0.5,1.674825,0.0,0.95,1.4,0.532825,0.0,0.52,0.459,0.0,0.25,1.17,1.6775,0.0,1.362,0.0,0.0,0.93,0.0,1.271552,0.0,0.819538,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.175058,2017-04-10,15
1,389.366156,162.657791,60.648094,44.043797,35.500817,9.2885,12.222556,9.180704,10.560558,5.66171,7.738,3.845703,3.193223,5.16505,3.199626,3.880856,5.43566,5.117821,5.68168,2.640506,5.3232,5.837153,2.882,4.3836,6.435908,2.11605,1.45,3.44905,3.133,2.16,33.809736,60.472208,39.950749,33.339594,35.165309,21.50518,15.648174,18.36325,9.818489,11.33234,10.872875,11.736146,11.974674,7.051932,8.2855,10.265051,9.927523,6.160212,5.479483,5.254778,3.4796,7.518882,9.39645,4.97605,5.00405,4.408822,5.446,4.969,4.94924,1.4544,3.33205,3.4106,2.414,1.448,2.543962,2.241422,2.936,2.800307,2.0684,3.00714,5.077447,3.26005,4.970475,4.122679,2.928,1.97215,2.301,0.82,1.41305,2.155278,1.946772,2.6736,1.71105,1.6842,2.22865,1.72405,3.38005,1.872603,0.4,1.2,2.052002,1.407,1.0,1.941103,2.83405,3.60405,4.114775,3.174067,2.53,3.24765,2.971,2.711,4.995882,3.673932,1.66005,0.58305,4.262,0.94,2.65,0.797,0.0,0.8,2.117,4.281,0.932,2.635975,1.52,1.388,1.22114,0.97305,0.52,2.432,0.93,2.23305,0.0,1.957483,0.28305,0.783,1.96,1.89505,1.18,1.362,0.0,0.0,1.233,3.987,1.051,0.52,0.93,0.69,0.9495,0.5,1.7,1.036,1.081,1.610802,1.025322,0.25,0.52,1.12,0.096,0.0,0.0,0.0,0.0,1.53,1.141,0.5,0.551,0.7,0.25,0.0,1.151,0.983,0.69,0.0,0.0,0.0,0.0,2.526087,0.0,0.0,0.0,0.6,1.352,0.77,0.0,0.93,0.59,0.551,1.986,0.0,0.52,0.0,0.351,0.686,0.0,1.32405,0.731,1.12905,0.0,0.0,0.0,1.97,0.5,0.52,0.25,0.7,0.432,0.0,0.351,0.0,1.43,0.0,0.177103,0.1344,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297483,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.225657,2017-04-11,15
2,401.337195,184.234996,42.908931,30.756289,29.074302,29.015533,9.4627,4.801,5.081,10.593612,4.948261,5.849,3.1726,3.953706,3.422522,2.878339,1.4106,3.628423,4.776,4.714239,5.530594,1.1536,2.091,2.471,4.172156,3.6436,4.2946,2.332,1.065058,2.062365,20.000191,72.021071,44.61917,39.535286,29.6567,28.526673,17.114123,17.940808,18.64795,16.93152,13.0193,17.0987,16.223541,9.7976,10.139247,9.086889,9.752825,7.163147,5.7974,4.312523,7.287539,5.41165,7.286,7.235642,4.9722,3.0846,5.099634,2.5972,3.5346,3.7,3.943953,3.0428,2.581,1.8732,3.577,1.312706,3.134103,4.695756,4.924522,3.7536,5.585807,4.204725,2.07323,4.293,2.723,5.842,3.17,1.700307,0.8806,1.02,3.72,1.34,3.007794,1.190375,0.682,3.0472,2.717156,2.219106,2.04,0.0,1.75,0.7,2.678,2.6331,1.259939,0.2826,1.952,2.338,1.386,0.8152,1.8685,1.801,3.228486,3.6136,2.345,0.432,3.153,1.232,3.628,0.983,1.4146,0.0,1.401,2.0052,2.184,1.18,0.93,0.7,1.968,0.432,2.656,0.0,0.9786,1.102,1.593,1.046,2.42,1.53,0.581314,2.3126,0.427339,1.3244,0.95,0.432,0.7826,1.22,0.25,0.85,1.8075,2.93,0.0,1.6075,2.352,0.6522,3.251,0.0,1.5375,0.0,0.25,0.8,1.1,0.77,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.551,0.0,0.7,0.0,1.62,0.0,0.2826,0.1344,0.0,0.0,0.0,0.7,0.0,0.8726,1.051,1.1616,0.7,0.756,0.25,1.281,1.32,0.25,0.351,0.0,0.5706,0.0,1.228,0.0,0.288,2.264,0.983,1.922,0.0,0.98,1.071,0.432,1.336922,0.0,0.0,0.69,0.0,0.0,0.408,0.7,0.8586,0.387106,0.0,0.0,0.7,0.507834,0.0,0.0,0.0,0.0,0.0,0.177423,0.0,0.0,0.0,0.25,0.551,0.0,0.7,0.5,0.0,0.0,0.93,0.1344,0.0,0.1904,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.523153,2017-04-12,15
3,380.769169,160.461407,66.685689,38.671869,31.631823,35.042457,17.587811,2.985788,7.772251,9.434929,6.456,7.21586,5.759973,4.361,3.485381,4.23265,3.5219,5.654097,2.4764,2.58345,1.963,4.941958,3.9344,2.5639,4.62345,3.948,4.536955,6.17445,0.637278,2.492,18.602756,45.626125,39.24845,26.707502,26.974871,28.428561,25.034375,20.639866,15.572973,14.434001,19.524114,12.1789,7.5639,7.846611,9.130867,10.0224,6.4589,10.412986,7.402956,7.390526,6.120232,6.699586,8.152188,7.82245,2.572,4.484353,2.9861,3.248375,3.086191,3.746825,6.95886,7.61645,0.5829,1.436375,1.9375,0.52,4.012,5.0021,2.8934,2.296,2.452975,2.4352,2.60945,2.78545,4.05044,5.595,3.59835,2.45345,1.001,4.181042,1.60115,3.08745,2.88965,3.956,1.833,0.801,0.53245,4.364938,1.584,0.351,0.28245,0.0,1.82745,0.0,2.633,1.655,2.14645,1.05245,0.5188,1.3175,2.548381,0.69,2.955268,2.47,2.76245,3.9526,0.52,0.899,0.5175,2.218738,2.6156,2.38,3.626326,1.829,2.38,2.15445,1.17445,1.123497,0.25,0.28245,0.0,2.603338,2.712818,0.432,0.5,0.601,0.52,1.232,1.051,0.845246,0.52,2.058,1.05,2.082,0.93,2.36,0.0,0.598,0.831375,1.182,0.69,1.80343,3.10145,1.751,2.191,2.022,1.7824,0.432,0.953338,0.432,0.0,0.25,0.95,0.0,0.28245,0.59,0.0,0.60871,0.0,0.0,0.28245,0.55,0.5,0.7,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.88,0.25,0.358,0.551,0.7,0.0,0.0,0.348,1.4,0.436,1.52,1.022,3.0072,0.9,1.18,1.44245,0.0,1.076,0.0,0.0,0.0,0.25,1.125798,0.0,0.551,0.28245,0.0,0.6,0.551,1.875,0.0,0.25,0.0,0.7,0.432,0.17755,0.0,0.6,0.0,0.0,0.0,0.0,0.1176,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.37124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.37124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.962158,2017-04-13,15
4,323.281632,127.022377,46.106664,27.4199,20.891199,17.565995,20.450196,10.656361,3.121502,3.579619,4.539,1.048501,4.099619,3.2256,1.1279,2.810247,2.677619,2.595869,2.42,1.625748,1.0212,2.350197,5.646348,1.026,2.741,1.856532,1.809399,1.602,0.783,1.743034,24.143394,25.844718,36.477442,36.32663,23.253219,13.399738,16.522819,18.047269,15.125119,8.950474,13.170029,7.982593,8.724577,6.508268,9.5219,5.969971,4.2087,8.6973,4.713469,3.8076,1.885619,6.025546,2.3502,2.513,2.640679,5.066,1.48,4.43645,2.78422,1.5862,3.472,10.223295,4.321762,2.787,5.03,2.838375,1.3593,3.166,2.6175,4.392398,3.888,2.46,2.6348,2.089,3.129574,1.9348,4.7185,1.792,1.395469,3.568,3.022127,0.682,1.537,0.538,1.858,2.732,1.056,1.747,0.346,2.356,0.52,0.983,2.982,1.4502,1.45,0.77,1.53,0.25,0.434,0.441,1.895775,3.258253,0.64,0.5308,0.69,0.596,1.85,0.8,2.71,0.427619,1.271,2.321,2.066,0.736,1.247,1.622,0.0,0.801,1.700725,1.1042,1.166,1.401,1.18,1.28,1.607,0.851,1.827,0.736,0.288,1.02,1.683,1.764638,1.322,0.728619,1.63,0.0,1.63,1.14,0.7656,1.132,2.041,0.596,0.686,2.059375,1.87,2.513,1.441749,0.0,0.177619,1.2112,0.7244,1.426,0.177619,0.65,0.64,0.0,0.351,0.0,0.69,0.0,0.0,0.0,0.64,1.2346,0.0,0.9645,0.1344,0.432,0.096,0.0,0.177619,0.551,0.351,0.731248,2.382,0.454,0.213748,0.1344,0.0,1.191,1.191,0.64,0.0,0.0,0.64,0.0,0.096,1.62,0.0,0.52,0.8,0.0,0.551,0.0,0.0,0.0,0.25,0.0,0.0,0.096,0.0,0.64,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.896,0.0,0.0,0.0,0.0,0.0,0.0,0.484638,0.4,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.25,0.0,0.1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.312245,2017-04-14,15
5,273.584218,120.542533,55.260194,26.054046,27.435882,17.248571,10.710375,9.808025,11.162842,1.979169,4.316,4.369998,3.8184,2.500396,0.346,2.045075,4.187513,3.0643,1.8517,2.550503,1.338999,5.025,1.2482,2.381,2.619131,3.234888,1.008,3.1935,1.912075,3.712075,21.000746,32.560612,23.063175,23.906995,24.025857,21.275588,12.620405,11.293905,10.198066,13.8485,7.911514,12.827747,9.354628,10.500865,7.920649,7.528224,5.9381,4.061,7.076129,7.869975,7.626921,3.968,2.744075,1.202399,5.956889,3.286842,5.639,3.1795,1.576,3.46315,3.32,8.778528,10.881224,6.596,0.3264,1.723075,0.331497,0.532075,1.585075,2.368075,5.4679,1.162,0.282075,2.395572,0.25,1.39615,2.928865,2.541314,0.856,2.410075,1.132,2.7456,1.146075,2.9975,1.323075,1.148,1.202,1.214075,2.230701,1.637,1.274075,1.785499,0.962,0.432,1.356,0.2304,1.017,1.80192,1.876,1.646,0.628075,2.840075,0.0,0.952,0.975,1.49,0.807075,1.532,0.387342,0.0,0.192,0.892,1.332075,0.9354,0.596,1.683,0.56,0.4,0.249499,2.330314,0.432,0.499499,0.0,0.096,0.096,1.051,2.2585,1.292,1.453,0.25,0.0,0.0,1.28,0.282075,0.0,0.551,1.2548,0.0,0.25,0.0,1.151,0.096,0.8,1.264,0.192,0.25,0.25,0.9444,1.253311,2.048,0.601,0.121,0.0,0.0,0.64,0.0,0.551,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.054025,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,1.186,0.339314,0.0,0.0,0.0,0.0,0.64,0.339314,0.432,0.551,2.421,0.432,1.3754,0.25,0.0,1.9075,0.7,0.0,1.006299,0.282075,0.61,0.25,0.0,0.096,0.94,1.73,0.435314,0.0,0.9445,0.93,0.249499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.589314,0.0,0.0,0.0,0.2304,0.0,0.408531,0.0,0.0,0.0,0.1344,0.0,0.339314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.93,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.476098,2017-04-15,15
6,311.881188,122.561009,37.704154,33.081488,25.499134,11.848066,13.500951,11.204947,11.025421,6.020949,2.509,3.590491,5.38965,1.3189,2.491625,1.172225,5.319714,0.6135,2.105,2.156297,1.562225,1.523,2.53,1.289314,1.227897,1.532225,2.7432,2.363225,2.783,3.402675,16.69235,34.402563,24.992942,19.659923,15.270387,23.878325,15.581739,14.525822,7.331687,14.887603,10.3809,6.732214,10.11495,4.263389,3.242423,7.543828,7.670516,4.367989,5.756289,9.1739,1.9013,3.910017,4.580425,4.834999,5.766764,4.025125,3.9546,3.961155,4.3596,1.930841,3.099714,5.860225,10.654437,11.70045,4.009475,2.37345,2.051,3.3145,1.146,2.889567,2.1349,2.706567,0.761342,1.858225,1.238997,0.778497,3.761,2.738,1.210052,2.019,1.796225,1.817225,0.796,1.426,3.078225,0.94,1.873,0.0,1.144499,0.530225,1.478131,3.226225,2.3332,0.800631,0.64,0.656,0.626462,0.736,0.7,1.361973,0.096,0.870875,1.930875,0.25,1.468,2.002225,0.0,2.471724,1.18,1.1995,0.986,0.912,0.89,0.846,1.728,1.708075,0.799875,0.096,0.0,0.282225,1.132225,1.323025,2.122,0.89,1.58,0.58,1.871,0.241489,0.378225,1.956,1.180262,0.7914,0.600499,0.432,0.551,1.3199,0.532225,0.0,0.0,0.0,0.64,0.5646,0.1904,2.3789,0.0,0.25,0.5,1.49,1.772225,1.28,1.423,0.6,1.6917,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.551,0.6,0.0,0.36,0.646,0.0,0.0,1.14,0.0,0.4,0.0,0.64,0.551,0.0,0.97,1.018225,0.0,0.0,0.64,0.64,1.081,0.587925,0.796,0.096,0.7,0.61,0.0,0.0,0.69,0.0,0.438225,0.6624,0.432,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.702,0.8,0.0,0.64,0.0,0.282225,0.096,0.0,0.7675,0.432,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0,0.0,0.0,0.2688,0.24765,0.0,0.0,0.0,0.0,0.153499,0.0,0.0,0.0,0.0,0.0,0.0,0.081497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.218131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.46438,2017-04-16,15
7,361.272154,148.087396,41.224119,21.198661,17.782564,20.19779,16.798538,10.505309,12.222493,8.251239,6.248115,3.2524,6.539389,4.091714,3.127918,2.066,2.593735,1.6,0.7744,3.0607,2.8695,1.500114,3.144225,2.952225,3.7564,1.86445,2.924821,1.76,0.903489,6.661,13.670975,59.151996,23.397428,27.5159,11.1259,11.637425,18.846638,13.2741,23.862481,20.872243,11.221716,13.3268,9.189389,8.212624,12.65679,4.856316,8.080614,5.18985,6.411,5.345225,4.084725,6.272089,2.7884,0.528225,4.990625,5.143343,1.136775,3.141,2.5452,1.8,3.393,14.600514,15.495675,12.893714,9.051982,2.03029,3.156225,1.883225,7.334,2.612,3.9675,1.5705,1.612,1.803,2.737,3.966982,1.038225,0.0,2.234493,1.472524,0.89,0.932,1.982,0.25,2.13,3.032,2.074701,0.682225,1.66,1.65855,1.602,0.9813,1.332225,1.381,0.64,0.0,1.732225,1.0644,0.25,1.071,1.7095,2.713225,1.172225,0.77,1.6019,0.779725,0.5,2.3303,1.4645,1.3,1.402,0.738332,0.432,3.02445,0.3399,1.6799,0.8909,0.58,0.75,0.0,0.153493,3.164,0.25,0.351,0.93,0.5,1.06,0.64,1.68,1.172225,0.25,1.232225,0.7675,0.782225,0.6,0.89,0.52,0.7,0.95,0.0,0.69,2.584,0.5175,0.0,1.191,0.25,1.05,0.0,1.8597,0.952,0.94,4.141,0.585489,1.224225,0.551,0.442,0.64,0.25,0.0,0.0,0.0,0.64,0.0,0.25,0.5,1.202,0.25,0.0,0.0,0.25,0.228,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.864,0.096,1.05,0.871,0.881,0.0,0.0,0.93,0.5175,0.52,0.0,1.43,0.0,0.331491,1.473225,0.25,0.7744,2.24,0.282225,0.801,0.0,0.77,0.0,0.0,0.174,0.0,0.0,0.0,0.25,0.0,0.351,0.1344,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.153493,0.0,0.52,0.1344,0.0,0.1344,0.0,0.0,0.0,0.0,0.282225,0.0,0.0,0.0,0.0,0.0,0.1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153489,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,1260.762437,2017-04-17,15
8,326.474704,140.239847,46.105246,28.16314,18.007438,17.209258,17.257606,15.959807,15.601576,12.9254,14.406889,9.288708,1.6175,3.085488,6.862023,3.5764,4.5684,4.8738,6.156688,2.969888,2.784,4.013,2.574,5.127976,5.04325,4.529115,1.452225,3.151,3.0944,1.1644,9.019612,19.421196,30.346815,22.35885,17.069862,14.228878,12.655401,16.114392,14.4249,16.443068,14.332832,10.699604,9.142088,7.720488,10.763775,9.819544,5.601125,6.964125,5.287888,6.621725,7.9788,8.302913,5.681,2.867888,4.512984,2.8232,3.2572,1.59,5.644165,1.981,5.295,6.2512,9.821,8.253996,7.382974,7.81056,2.783488,3.122125,2.953783,2.738,3.314,1.811874,2.3821,1.842,1.563672,3.611,0.77,2.521,1.643874,2.684332,3.46,1.763797,1.622,0.7,1.204488,1.47,0.376575,3.1,1.035,1.492,0.801,0.93,2.996,2.754,2.371,0.631125,0.89,0.7996,0.601,0.5,0.709,0.6144,1.511,2.57,2.1314,0.788072,2.0509,2.095688,1.889,1.482,2.34,0.0,2.0445,0.81,2.199,1.371,1.27,1.182,0.2471,0.988115,1.33,1.0054,2.503,0.89,0.0,1.84,0.7,1.101,0.682,0.871,0.0,0.988018,0.601,0.831375,1.65,0.682,2.904,2.629,1.602,0.0,1.333488,1.1575,1.748,0.358,0.933213,0.980125,0.586,1.4695,1.048,1.072,1.373493,0.77,0.25,2.37,0.25,0.0,0.25,1.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.7565,1.165,0.4,0.0,0.0,0.64,0.275,0.0,0.25,0.25,0.64,0.6452,0.275,0.4,0.25,0.0,0.0,0.64,1.4195,0.351,0.871,0.0,1.0175,0.9824,1.2,1.134,0.952,0.5299,0.0,0.64,1.165,0.25,0.25,0.7,0.0,0.0,0.0,0.25,0.0,2.9194,0.0,0.351,0.0,0.1882,0.432,1.28,1.251,0.0,0.7,0.0,0.5175,0.704488,0.0,0.0,0.4216,0.0,0.0,0.25,0.0,0.0,0.0,0.781491,0.0,0.0,0.0,0.0,1.543488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.580507,2017-04-18,15
9,297.37842,120.197283,63.734615,29.965154,16.253726,17.83155,10.944186,10.084543,12.751377,10.7803,4.719711,4.055711,3.9144,3.0861,4.519787,1.245711,4.139072,4.5052,3.3126,1.22,4.234,0.404376,2.2,1.45915,2.2165,1.47,0.5934,2.004,4.7171,0.895425,14.842812,21.199075,14.99865,24.339255,13.779809,15.677057,10.396125,13.607931,12.755487,10.6015,16.012201,7.097625,10.572953,7.70225,7.732526,6.179072,10.485991,9.512634,9.762775,4.060972,2.1641,4.716011,6.1147,5.494775,5.483675,3.936425,4.1554,3.6921,2.432,2.173632,5.3229,12.577475,9.281726,8.4871,7.837025,8.1831,5.381,4.22635,2.544,0.5,2.82,2.66,3.455,1.609,0.81115,1.406,1.951,0.944525,1.591,1.851,2.251,1.891,3.858375,1.129232,1.955986,1.336,0.98,1.0721,0.78815,0.8506,1.14,0.75,1.376,0.801,3.547,0.77,0.597775,0.27915,0.0,0.737,1.0,1.257,0.25,2.3811,1.901,1.634,2.31,2.059075,1.446,1.8045,1.524,1.251,0.5,1.657672,0.1344,1.22,1.34,0.89,0.404376,0.25,0.0,1.334,0.0,2.487,1.151,1.404734,1.431,1.42,1.0,0.89,0.3945,1.138,0.551,0.0,0.186,0.5,0.25,2.474,0.5,0.0,0.5,0.25,0.8344,0.0,0.9044,0.0,0.9354,0.25,0.27915,0.186,1.7911,0.24,0.832,0.1411,0.5,1.143425,0.186,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.48,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.64,0.551,0.1411,0.0,0.0,0.0,1.891,0.64,1.37,0.0,1.42,1.014,0.763,0.0,0.0,0.0,0.351,0.65,1.006,0.0,0.0,0.25,0.7,0.0,0.0,0.0,0.7,0.1411,0.351,0.601,0.0,0.551,1.5445,1.39,0.25,0.613877,0.0,0.0,0.1411,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.153672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.64,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0,0.0,0.0,0.0,0.153672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.486762,2017-04-19,15
